Channel Title,Channel Username,ID,Message,Date,Media Path
መነሻዬ,@meneshayeofficial,740,"Aero space rocket

ሮኬትን በሚገጣጠም ብሎክ

👉76 መለማመጃዎች ያሉት
👉ከተገጣጠመ በኃላ 17.6 ሴ.ሜትር ርዝማኔ ያለው
👉ስለ ሮኬት አሰራር ግንዛቤን የሚያገኙበት
👉ገጣጥመው ሲጨርሱ እየተጫወቱ አሪፍ ጊዜን የሚያሳልፉበት
👉አሰራሩን በዝርዝር የሚያሳይ ማኑዋል ያለው
👉ከአንድ ጊዜ በላይ ደጋግመው የሚሰሩበት
👉የሜካኒካል ምህንድስና እውቀትን የሚያዳብር
👉አትኩሮትንና ፅናትን የሚለማመዱበት
👉የፈጠራ ክህሎታቸውን የሚጨምር
👉በራስ መተማመንን የሚያዳብር
👉ምናባዊ አቅምንና  የሚያጎለብት
👉ዘና ለማለትና የመጨናነቅ ስሜትን ለመቀነስ የሚረዳ
👉የእጅና የአይን ቅንጅታቸውን የሚያዳብር

ዋጋ 400

አድራሻ፦
📍ጉርድ ሾላ ሆሊ ሲቲ ሴንተር 3ኛ ፎቅ
ይምጡ በመነሻዬ የልጅዎን መነሻ ያቅልሉ!

ይደውሉ 0989939393 ወይም 0930323334

Telegram > http://t.me/meneshayeofficial
Tiktok > http://tiktok.com/@meneshayeofficial
Facebook > http://facebook.com/@meneshayeofficial

#Buildingblock #Buildindtoys #virtualworldsforkids #Kidstoysonline #primaryschooltoys #Creativity  #quality #gift   #entertain #toy #kid #store #educationaltoys #meneshaye
#meneshayestore",2024-02-17 06:09:40+00:00,../data/raw/photos\@meneshayeofficial_740.jpg
Fashion tera,@Fashiontera,3483,"Air Force 
Made in  Vietnam 
Size 36,37,38
Price 2100
(Free Delivery)
Inbox @Hiwe5266
ስልክ +251945355266

    ♦️ ፋሽን ተራ /Fashion Tera♦️
          〰〰〰〰〰〰〰〰
አድራሻ: አዲስ አበባ ,ጦር ሀይሎች ድሪም ታወር 2ተኛ ፎቅ
ቢሮ ቁጥር 205
〰〰〰〰〰",2023-08-08 13:40:55+00:00,../data/raw/photos\@Fashiontera_3483.jpg
መነሻዬ,@meneshayeofficial,711,"🌼🌼🌼መነሻዬ🌼🌼🌼

ዛሬን እያዝናኑ ነገን የሚያቃኑ ትምህርታዊ መጫወቻወች ወደሚገኙበት ስፍራ እንኳን ደህና መጡ!!
👉 በዕድሜና በአይነት የተከፋፈሉ 
👉 ስለሚገዙት ምርት በቂ መረጃ የሚያገኙበት
👉 በአይነቱ ለየት ያለ
አድራሻ
📍 ጉርድ ሾላ ሆሊ ሲቲ ሴንተር 3ኛ ፎቅ

ይደውሉ 0989939393 ወይም 0930323334

Telegram > http://t.me/meneshayeofficial
Tiktok > http://tiktok.com/@meneshayeofficial
Facebook > http://facebook.com/@meneshayeofficial",2024-01-30 07:58:01+00:00,
Fashion tera,@Fashiontera,2848,"〰〰〰〰〰〰〰
Brand Socks 
Price 150
Inbox @Hiwe5266
ስልክ +251945355266

    ♦️ ፋሽን ተራ /Fashion Tera♦️
          〰〰〰〰〰〰〰〰
አድራሻ: አዲስ አበባ ,ጦር ሀይሎች ድሪም ታወር 2ተኛ ፎቅ
ቢሮ ቁጥር 205
〰〰〰〰〰",2022-03-31 14:25:48+00:00,../data/raw/photos\@Fashiontera_2848.jpg
መነሻዬ,@meneshayeofficial,236,"Jigsaw Puzzle - Forest Concert 

የእንስሳቱን ኮንሰርት በፐዝል ለልጆች!

👉56 መለማመጃዎች ያሉት
👉ልጆች የተለያዩ  እንስሳት ምስል  በፐዝል የሚሰሩበት!
👉ተገጣጥሞ ሲያልቅ 51 በ 36 ሴ.ሜትር ስፋት ያለው
👉ለመገጣጠም አመቺ ሆኖ የተዘጋጀ

👉ምርጥ ስጦታ መሆን የሚችል
👉አትኩሮትንና ፅናትን የሚለማመዱበት
👉በራስ መተማመንን የሚያዳብር
👉ምናባዊ አቅምንና ፈጠራን የሚያጎለብት
👉የእጅና የአይን ቅንጅትን የሚያዳብር
👉ዘና ለማለትና የመጨናነቅ ስሜትን ለመቀነስ የሚረዳ

ዋጋ 1150

ይደውሉ 0989939393 ወይም 0930323334

Telegram > http://t.me/meneshayeofficial
Tiktok > http://tiktok.com/@meneshayeofficial
Facebook > http://facebook.com/@meneshayeofficial
አድራሻ፦

📍 ጉርድ ሾላ ሆሊ ሲቲ ሴንተር 3ኛ ፎቅ
የልጅዎን መነሻ ያቅልሉ!

#puzzle #jigsaw #gift #confidence #concentration #creativity #imagination  #entertain #toy #kid #store #educationaltoys #meneshayestore #meneshaye",2023-07-16 13:56:03+00:00,../data/raw/photos\@meneshayeofficial_236.jpg
መነሻዬ,@meneshayeofficial,159,"Tack Zap - Robot

እስኪ ልጆችዎ የሮቦት ዲዛይኖችን ይስሩ!

👉45 መለማመጃዎች ያሉት
👉10 የተለያዩ የሮቦት ዲዛይን ምስሎችን ያካተተ
👉ለልጆች ታስቦ የተዘጋጀ አነስተኛ መስሪያ መዶሻን ያካተተ
👉ልጆች የተለያዩ የሮቦት ዲዛይኖችን በመስራት አስደሳች ጊዜን የሚያሳልፉበት

👉የልጆችን ምናባዊ አቅምና የፈጠራ ችሎታ የሚያሳድግ
👉የማሰላሰል አቅማቸውን የሚያዳብር
👉የእጅና የአይን ቅንጅታቸውን የሚያጎለብት
👉ልጆች የሚገጣጠሙ በእጆቻቸው የመስራት ችሎታቸውን የሚያሳድግ
👉የልጆችን ደህንነት ታሳቢ ተደርጎ የተሰራ

ዋጋው 1800

ይደውሉ 0989939393 ወይም 0930323334

Telegram > http://t.me/meneshayeofficial
Tiktok > http://tiktok.com/@meneshayeofficial
Facebook > http://facebook.com/@meneshayeofficial
አድራሻ፦
📍 ጉርድ ሾላ ሆሊ ሲቲ ሴንተር 3ኛ ፎቅ
የልጅዎን መነሻ ያቅልሉ!
#tackzap
#robot #play #toy #kid #store #quality #Safty #criticalthinking #educationaltoys #meneshaye",2023-07-11 13:12:51+00:00,../data/raw/photos\@meneshayeofficial_159.jpg
NEVA COMPUTER®,@nevacomputer,8041,"🔤🔤🔤🅰️
🔤🔤🔤🔤🔤🔤🔤🔤

#BUSINESS LAPTOP ✔️
#student offer 
#europa standard 🗯️
🅑︎🅡︎🅐︎🅝︎🅓︎ : HP ENVY X360
✨🅓︎🅘︎🅢︎🅟︎🅛︎🅐︎🅨︎: 15.6 TOUCH 
✨🅒︎🅟︎🅤︎: CORE I5 8th gen 
✨🅡︎🅐︎🅜︎:20GB 𝗗𝗗𝗥4 
✨🅢︎🅣︎🅞︎🅡︎🅐︎🅖︎: 512GB SSD
✨🅖︎🅡︎🅐︎🅟︎🅗︎🅘︎🅒︎🅢︎: 4GB NIVIDIA Geforce MX 150 GRAPHICS  
✨🅞︎🅢︎:𝘄𝗶𝗻𝗱𝗼𝘄𝘀 11 pro 22H2 
✨🅑︎🅐︎🅣︎🅣︎🅔︎🅡︎🅨︎: 5hr 
✨🅢︎🅣︎🅐︎🅣︎🅤︎🅢︎: BRAND NEW  
Price  65000ETB 
📩@rasneva ለአጭር መልእክት
 ይደዉሉ ☎️
+251912759900
+251920153333

🏢 አድራሻ: - መገናኛ ማራቶን የ ገበያ ማእከል በ ዋናው መግቢያ መሬት ላይ
ወይንም ግራውንድ ፍሎር ብቅ ይበሉ
 👉ነቫ ኮምፒውተር👈 መሆኑን ያረጋግጡ

ድህረ ገጻችንን ይጎብኙ
www.nevacomputer.com

ቴሌግራም ቻናላችንን ይቀላቀሉ

https://t.me/nevacomputer

     🔠🔠🔠🅰️ 🔠🔠🔠🔠🔠🔠🔠🔠",2023-11-10 19:13:30+00:00,../data/raw/photos\@nevacomputer_8041.jpg
መነሻዬ,@meneshayeofficial,771,"መነሻዬ ታብሌት ጥቅል

ትምህርት እና ጫወታ በአንድ ገበታ

👉ወላጆች የልጆቻቸውን የታብሌት አጠቃቀም መቆጣጠር የሚያስችላቸው ሶፍትዌር ከነአጠቃቀም መመሪያ ጋር ያለው 
👉 ዘመንኛው አንድሮይድ 12 ሲስተምን የሚጠቀም
👉10.1 ኢንች ስፋት ያለው ጠንካራ ስክሪን
👉64GB ROM  እና  4GB  RAM የሆነ
👉6000mah ፈጣን ቻርጀር እና ምርጥ ኤርፎንን አካቶ የያዘ

👉72 የመለማመጃና የጨዋታ ካርዶችን እና 2 መፃፊያዎችን ያካተተ
👉 በሁለቱም በኩል መፃፍ የሚያስችል የፅሁፍ መለማመጃ ቦርድ እና 5 መፃፊያ ቀለሞች ያለው 
👉 2 የመጫወቻ ጆይስቲኮች ያለው
👉አስደናቂ የምስል ጥራትና ኩልል ያለ ድምፅ ያለው
👉ውብና ጠንካራ ሽፋን ስላለው ለአይን ማራኪ ደህንነቱም አስተማማኝ
👉ሽፋኑን ከፈለጉ የሚያወጡት
👉ልጆች ከቦታ ቦታ ሲያንቀሳቅሱት እንዲመች ማንጠልጠያ ያለው


   አድራሻ ፦
1 .ጉርድ ሾላ ሆሊ ሲቲ ሴንተር 3ኛ ፎቅ
2 . ፒያሳ ካንትሪ ታወር 2ኛ ፎቅ፤
3 . ጀሞ ደሊና ህንፃ ምድር ላይ
(ከኦልማርት ጎን)
4 . ገርጂ መብራት ሃይል
      ፋውንቴን ህንፃ 1ኛ ፎቅ

ይደውሉ 0989939393 ወይም 0930323334
Telegram > http://t.me/meneshayeofficial
Tiktok > http://tiktok.com/@meneshayeofficial
Facebook > http://facebook.com/@meneshayeofficial

#Tablet #Meneshaye_Tablet #kids_tablet #uniqe_tablet #latest_version_kids_tablet #iwawa #portableblender aternal_control  #kids_store #shewit #educationaltoys #meneshaye #meneshayestore",2024-04-01 06:27:17+00:00,../data/raw/photos\@meneshayeofficial_771.jpg
ልዩ እቃ,@Leyueqa,6759,"💥✔️✔️✔️ 4 set seasoning bottles 

👍2 ፍሬ የዘይት እና አቼቶ መቀነሻ
👍2 ፍሬ የቅመም መቀነሻ እና የራሱ መነስነሻ ያለው
👍የራሱ የሆነ ማስቀመጫ ያለው
👍ለራስዎ፣ለወዳጅ ዘመድዎ የሚያበረክቱት አስተማማኝ እቃ

ዋጋ፦  💲  1600 +100 ብር  ዲሊቨሪ

#ክፍያዎን_በሞባይል_ባንኪንግ_መፈፀምም_ይችላሉ በተጨማሪ #ከ_1000_ብር በላይ የሆኑ #ሁለት_ዕቃዎች ሲገዙ ስጦታ እንልክለዎታለን 
🎁 T.me/Leyueqa 👈ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 

            0933334444 @Leyustore
            0944109295 @Lemaze_z
            0946242424 @Le_Mazez",2025-02-22 08:14:02+00:00,
Zemen Express®,@ZemenExpress,6484,"💥💥...................................💥💥

📌MAGIC FLAT MOP AND BUCKET SYSTEM

👍Professional Dust Scraping Mops
👍Floor Cleaner and Bucket Kit for Kitchen Hard Floor
👍Replacement Mop Heads
👍Easy Self Wringing Dry Wet Mop

📝📝📝📝📝📝📝📝📝📝

👍ተቀያሪ ጨርቅ ያለው
👍360° የሚሽከረከር 
👍ለአጠቃቀም በጣም ቀላል 
👍ማድረቂያው እና ውሀ መያዣው ለየብቻ የሆነ
👍የራሱ ውሀ ማፍሰሻ ያለው 

⚠️ በሁለት የሳይዝ አማራጭ

ዋጋ፦  💲🏷  ትልቁ 3200ብር
                      ትንሹ 2600ብር 

♦️ውስን ፍሬ ነው ያለው 🔥🔥🔥

📍♦️#መገናኛ_መሰረት_ደፋር_ሞል_ሁለተኛ_ፎቅ ቢሮ ቁ. S05/S06


     💧💧💧💧


    📲 0902660722
    📲 0928460606 

🔖
💬በTelegram ለማዘዝ ⤵️ ይጠቀሙ🔽

@zemencallcenter 

@zemenexpressadmin

ለተጨማሪ ማብራሪያ የቴሌግራም ገፃችን⤵️
https://telegram.me/zemenexpress

💥💥...................................💥💥",2025-04-08 09:55:01+00:00,../data/raw/photos\@ZemenExpress_6484.jpg
